name,Resizing,Repositioning,Refilling,Repeating,Inclusion,Cutout,Replication,Division
31776a80574237f9e3bf1ea43af46a30.jpg,0,0,0,0,1,0,0,1
31e7264b-a257-4920-965f-f7934eef0048.png,0,0,1,0,1,0,1,0
328cdea7606a7f35d7e4ec9bfcb21da0.png,0,0,1,0,1,0,0,1
32b84e6a3d0a45200dfa90f0d8979c7e.jpg,0,0,1,0,1,0,1,0
33.png,1,0,0,0,1,0,0,0
33ddf5bc-94c9-4fc2-9d96-28516387837c.png,0,0,1,1,1,0,1,0
34.png,1,0,0,0,1,0,0,0
35.png,1,0,0,0,1,0,0,0
36.png,0,0,1,0,1,0,0,0
371f50d7af5cfbb75a1840f9e4c5df31.jpg,1,0,1,0,1,1,1,0
38-million-scaped.png,0,0,1,0,0,0,0,0
38.png,1,0,1,0,1,0,1,0
39.png,1,0,0,0,1,0,0,0
3bad629eca6e946bd04def8065624c6b.jpg,0,0,0,0,1,0,1,1
3c18991803c0c48325c9379cc39dfedc.jpg,1,0,1,0,1,0,1,0
3d3779b87fa08233c1e540e60293f653.jpg,0,0,1,1,1,0,1,0
3dc2ff486d0aa1301d6c68eb4ced5a85.jpg,0,1,1,0,1,0,1,0
3e99b16b4ce92b525fa7e258d7647c8e.jpg,0,0,1,1,1,0,1,0
3e9f1c503ea2b7e39ddc4e2d83ef25c3.jpg,0,0,0,0,1,1,2,0
4.png,0,0,1,1,0,0,1,0
40.png,1,0,0,0,1,0,1,0
4020a47328ddd1de348dc9e269c596e9.jpg,1,0,1,0,0,0,1,0
41.png,1,0,0,0,0,0,1,0
41a942aa0b46039cdc0f79aaef87a541.jpg,2,0,1,0,1,0,0,1
4262e80c63055962bcd1bdc970feb499.jpg,1,0,0,0,1,0,1,0
42a400040dcfbfd33e8f5cbc9c0f0f1c.jpg,0,2,0,0,0,0,0,0
42e440df3bba4eeac777e8690db85368.jpg,1,0,1,1,1,0,1,0
44.png,1,0,0,0,1,0,0,0
4400616979_cfb777123d_c.jpg,0,0,0,0,1,1,0,0
4425414768_02d4f5df36_k.jpg,0,0,1,0,1,0,1,0
44cd02b9779c977968379acbc05cd529.png,0,0,0,0,1,1,0,0
45.png,1,0,0,0,1,0,0,0
451a9cba8dcdf58662a9df08935086cd.jpg,0,0,0,0,1,1,0,0
46.png,1,0,0,0,1,0,0,0
